data,time_start,time_stop,count_move,screen
20200101,010101,010101,0,none
20200415,011227,012230,0,none
20200415,012236,044630,0,none
20200415,044636,045641,379,20200415-044636-045641.jpg
20200415,045647,050652,3368,20200415-045647-050652.jpg
20200415,050658,051703,3185,20200415-050658-051703.jpg
20200415,051709,052715,6551,20200415-051709-052715.jpg
20200415,052721,053726,0,none
20200415,053733,054736,0,none
20200415,054742,055744,0,none
20200415,055750,060752,0,none
20200415,060758,061759,0,none
20200415,061806,062807,0,none
20200415,062813,063815,0,none
20200415,063821,064822,0,none
20200415,064828,065830,0,none
20200415,065836,070837,9653,20200415-065836-070837.jpg
20200415,070844,071845,0,none
20200415,071851,072852,0,none
20200415,072859,073900,0,none
20200415,073906,074907,0,none
20200415,074914,075915,0,none
20200415,075922,080923,0,none
20200415,080929,081930,0,none
20200415,081936,082938,0,none
20200415,082944,083945,0,none
20200415,083952,084953,0,none
20200415,084959,090005,0,none
20200415,090013,091019,0,none
20200415,091025,092027,0,none
20200415,092033,093035,0,none
20200415,093041,094042,0,none
20200415,094048,095050,0,none
20200415,095056,100058,0,none
20200415,100104,101106,0,none
20200415,101112,102113,0,none
20200415,102120,103121,0,none
20200415,103127,104129,0,none
20200415,104135,105137,0,none
20200415,105143,110144,0,none
20200415,110150,111152,0,none
20200415,111158,112159,0,none
20200415,112206,113207,0,none
20200415,113213,114215,2,20200415-113213-114215.jpg
20200415,114221,115222,0,none
20200415,115228,120233,0,none
